AQL date,Source,Client CRM,Client country,Number of sales reps,Subscription period,PPC budget USD,Stage,Loss reason description,Closing Date
"Mar 5, 2024",Partner,KeyCRM,UA (Ukraine),20,,0-500,Negotiations,,
"Mar 5, 2024",Facebook PPC,No CRM,PL (Poland),25,,500-1000,Closed Lost,Stopped communicating,"Mar 22, 2024"
"Mar 5, 2024",Facebook PPC,No CRM,PL (Poland),7,,0-500,Closed Lost,High price and customer refused to implement any solution in general,"Mar 15, 2024"
"Mar 5, 2024",Partner,Pipedrive,GE (Georgia),3,,500-1000,Closed Lost,Ads not run,"Mar 7, 2024"
"Mar 5, 2024",Inbound call,Integrica,UA (Ukraine),1,,0-500,Closed Lost,Hiring,"Mar 6, 2024"
"Mar 5, 2024",Registration,KeepinCRM,UA (Ukraine),2,,1000-2000,Closed Lost,Competitor gave better offer,"Mar 14, 2024"
"Mar 4, 2024",Partner,No CRM,EE (Estonia),1,180,0-500,Closed Won,,"Mar 26, 2024"
"Mar 4, 2024",Inbound call,No CRM,UA (Ukraine),2,,0-500,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 4, 2024"
"Mar 5, 2024",Registration,AmoCRM,UA (Ukraine),7,,0-500,Closed Lost,Competitor has better product,"Mar 12, 2024"
"Mar 5, 2024",Intercom,No CRM,US (United States of America),5,360,500-1000,Closed Won,,"Apr 3, 2024"
"Mar 4, 2024",Partner,No CRM,UA (Ukraine),3,,0-500,Project set up,,
"Mar 5, 2024",Inbound call,Is not using,UA (Ukraine),3,90,0-500,Closed Won,,"Mar 7, 2024"
"Mar 5, 2024",Inbound call,NetHunt CRM,UA (Ukraine),3,,0-500,Negotiations,,
"Mar 4, 2024",Partner,Creatio,UA (Ukraine),7,,0-500,Closed Lost,Competitor has better product with better price,"Mar 15, 2024"
"Mar 4, 2024",Intercom,No CRM,EE (Estonia),4,,0-500,Closed Lost,Competitor has better product with better price,"Mar 8, 2024"
"Mar 4, 2024",Partner,KeyCRM,UA (Ukraine),2,,500-1000,Negotiations,,
"Mar 4, 2024",Partner,No CRM,KZ (Kazakhstan),1,,500-1000,Negotiations,,
"Mar 4, 2024",Partner,No CRM,PL (Poland),3,,0-500,Closed Lost,Client decided that it was not profitable,"Mar 25, 2024"
"Mar 4, 2024",Partner,NetHunt CRM,UA (Ukraine),1,90,0-500,Closed Won,,"Apr 1, 2024"
"Mar 4, 2024",Inbound call,No CRM,KZ (Kazakhstan),1,,0-500,Closed Lost,Stopped communicating,"Mar 21, 2024"
"Mar 4, 2024",Inbound call,Bitrix24,KZ (Kazakhstan),37,,0-500,Closed Lost,High price and customer refused to implement any solution in general,"Mar 13, 2024"
"Mar 4, 2024",Partner,No CRM,UA (Ukraine),5,,0-500,Negotiations,,
"Mar 1, 2024",Facebook PPC,Salesforce,PL (Poland),30,,0-500,Negotiations,,
"Mar 1, 2024",Inbound call,Pipedrive,PL (Poland),3,,0-500,Closed Lost,"Telecom (numbers, voice traffic)","Mar 14, 2024"
"Mar 1, 2024",Partner,Other,UA (Ukraine),14,,0-500,Trial,,
"Mar 1, 2024",Demo Request,No CRM,UA (Ukraine),4,,0-500,Closed Lost,Stopped communicating,"Mar 15, 2024"
"Mar 4, 2024",Inbound call,No CRM,UA (Ukraine),2,,0-500,Closed Lost,Competitor gave better offer,"Mar 11, 2024"
"Mar 1, 2024",Partner,KeyCRM,UA (Ukraine),5,360,0-500,Closed Won,,"Mar 19, 2024"
"Mar 4, 2024",Partner,No CRM,PT (Portugal),3,,500-1000,Trial,,
"Mar 1, 2024",Intercom,Bitrix24,UA (Ukraine),2,,2000-5000,Negotiations,,
"Mar 4, 2024",Registration,No CRM,UA (Ukraine),1,,0-500,Trial,,
"Mar 1, 2024",Inbound call,Other,PL (Poland),2,,0-500,Trial,,
"Mar 1, 2024",Intercom,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Client decided that it was not profitable,"Mar 4, 2024"
"Mar 1, 2024",Intercom,No CRM,KZ (Kazakhstan),5,,0-500,Project set up,,
"Mar 1, 2024",Inbound call,Creatio,UA (Ukraine),18,,500-1000,Negotiations,,
"Feb 29, 2024",Existing client,No CRM,UA (Ukraine),3,,0-500,Payment,,
"Feb 29, 2024",Partner,No CRM,UA (Ukraine),1,90,500-1000,Closed Won,,"Mar 27, 2024"
"Feb 29, 2024",Inbound call,Bitrix24,UA (Ukraine),3,,0-500,Closed Lost,High price and customer refused to implement any solution in general,"Mar 22, 2024"
"Feb 29, 2024",Facebook PPC,Other,PL (Poland),3,,500-1000,Closed Lost,Cranky client,"Mar 20, 2024"
"Mar 1, 2024",Partner,KeyCRM,UA (Ukraine),2,90,500-1000,Closed Won,,"Mar 18, 2024"
"Mar 1, 2024",Intercom,Creatio,UA (Ukraine),2,,0-500,Closed Lost,Ringostat Smart Phone,"Apr 2, 2024"
"Feb 29, 2024",Partner,KeyCRM,UA (Ukraine),4,,0-500,Closed Lost,Competitor gave better offer,"Mar 6, 2024"
"Feb 29, 2024",Demo Request,No CRM,HU (Hungary),2,,500-1000,Closed Lost,Doing the website,"Mar 12, 2024"
"Feb 29, 2024",Facebook PPC,No CRM,PL (Poland),1,12-month contract,0-500,Closed Won,,"Mar 18, 2024"
"Feb 29, 2024",Registration,No CRM,PL (Poland),5,,500-1000,Closed Lost,Client decided that it was not profitable,"Mar 19, 2024"
"Feb 29, 2024",Partner,No CRM,KZ (Kazakhstan),3,,0-500,Negotiations,,
"Feb 29, 2024",Partner,Other,UA (Ukraine),1,,500-1000,Project set up,,"Mar 6, 2024"
"Feb 29, 2024",Inbound call,No CRM,UA (Ukraine),8,,0-500,Project set up,,
"Feb 29, 2024",Partner,PERFECTUM,DE (Germany),4,,0-500,Closed Lost,Stopped communicating,"Mar 15, 2024"
"Feb 28, 2024",Partner,altegio,UA (Ukraine),3,,0-500,Negotiations,,
"Feb 28, 2024",Registration,CRM Binotel,UA (Ukraine),1,,0-500,Payment,,
"Feb 29, 2024",Inbound call,No CRM,UA (Ukraine),5,,0-500,Closed Lost,Solving budget issues,"Mar 12, 2024"
"Feb 28, 2024",Partner,Creatio,UA (Ukraine),10,,0-500,Negotiations,,
"Feb 28, 2024",Inbound call,Beauty Pro,UA (Ukraine),2,,0-500,Closed Lost,Integrations,"Mar 20, 2024"
"Feb 28, 2024",Inbound call,Onebox,UA (Ukraine),8,,0-500,Closed Lost,Competitor gave better offer,"Apr 2, 2024"
"Feb 29, 2024",Partner,KeyCRM,UA (Ukraine),5,,0-500,Closed Lost,Client decided that it was not profitable,"Mar 7, 2024"
"Feb 28, 2024",Existing client,Custom CRM,GE (Georgia),1,90,0-500,Closed Won,,"Mar 5, 2024"
"Feb 28, 2024",Partner,1C as CRM,UA (Ukraine),16,,0-500,Closed Lost,Competitor has better product with better price,"Mar 6, 2024"
"Feb 29, 2024",Partner,RealtSoft,UA (Ukraine),3,,0-500,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 14, 2024"
"Feb 29, 2024",Intercom,NetHunt CRM,PL (Poland),2,,500-1000,Closed Lost,High price without explanation,"Mar 14, 2024"
"Feb 28, 2024",Registration,altegio,UA (Ukraine),2,,0-500,Closed Lost,Ringostat Smart Phone,"Mar 19, 2024"
"Feb 28, 2024",Intercom,No CRM,UA (Ukraine),3,,0-500,Closed Lost,Phone system,"Mar 5, 2024"
"Feb 28, 2024",Registration,AmoCRM,LV (Latvia),1,,0-500,Closed Lost,Other,"Feb 28, 2024"
"Feb 28, 2024",Inbound call,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Stopped communicating,"Mar 12, 2024"
"Feb 28, 2024",Inbound call,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Phone system,"Mar 15, 2024"
"Feb 28, 2024",Demo Request,No CRM,PL (Poland),7,,0-500,Closed Lost,Ringostat Smart Phone,"Mar 19, 2024"
"Feb 28, 2024",Partner,KeyCRM,UA (Ukraine),2,90,0-500,Closed Won,,"Mar 19, 2024"
"Feb 28, 2024",Inbound call,KeepinCRM,UA (Ukraine),2,90,0-500,Closed Won,,"Mar 20, 2024"
"Feb 28, 2024",Partner,KeyCRM,UA (Ukraine),5,90,0-500,Closed Won,,"Mar 20, 2024"
"Feb 28, 2024",Intercom,No CRM,UA (Ukraine),2,360,500-1000,Closed Won,,"Mar 11, 2024"
"Feb 28, 2024",Partner,Creatio,UA (Ukraine),2,180,500-1000,Closed Won,,"Mar 28, 2024"
"Feb 28, 2024",Inbound call,No CRM,UA (Ukraine),2,90,500-1000,Closed Won,,"Mar 13, 2024"
"Feb 28, 2024",Partner,No CRM,UA (Ukraine),1,,500-1000,Closed Lost,Solving budget issues,"Mar 4, 2024"
"Feb 28, 2024",Partner,KeepinCRM,UA (Ukraine),1,,1000-2000,Closed Lost,Ringostat Smart Phone,"Mar 14, 2024"
"Feb 28, 2024",Inbound call,Other,PL (Poland),5,,0-500,Negotiations,,
"Feb 28, 2024",Partner,Salesdrive,UA (Ukraine),10,,0-500,Closed Lost,Hiring,"Mar 5, 2024"
"Feb 27, 2024",Registration,No CRM,KZ (Kazakhstan),3,,0-500,Closed Lost,Competitor has better product,"Mar 6, 2024"
"Feb 27, 2024",Inbound call,AmoCRM,PL (Poland),3,90,0-500,Closed Won,,"Mar 12, 2024"
"Feb 27, 2024",Inbound call,Firmao,PL (Poland),3,,0-500,Trial,,
"Feb 27, 2024",Intercom,No CRM,UA (Ukraine),6,90,0-500,Closed Won,,"Mar 6, 2024"
"Feb 27, 2024",Registration,Other,PL (Poland),2,180,0-500,Closed Won,,"Mar 12, 2024"
"Feb 27, 2024",Partner,No CRM,PL (Poland),1,90,500-1000,Closed Won,,"Mar 11, 2024"
"Feb 27, 2024",Partner,Microsoft Dynamics,UA (Ukraine),1,,0-500,Closed Lost,Ads not run,"Feb 28, 2024"
"Feb 27, 2024",Facebook PPC,No CRM,PL (Poland),17,,0-500,Negotiations,,
"Feb 27, 2024",Facebook PPC,Bitrix24,PL (Poland),9,,0-500,Closed Lost,Hiring,"Feb 27, 2024"
"Feb 27, 2024",Inbound call,Bitrix24,KZ (Kazakhstan),1,,0-500,Closed Lost,Competitor gave better offer,"Mar 1, 2024"
"Feb 27, 2024",Partner,Other,UA (Ukraine),2,,0-500,Closed Lost,Stopped communicating,"Mar 5, 2024"
"Feb 27, 2024",Intercom,Creatio,UA (Ukraine),1,180,500-1000,Closed Won,,"Mar 27, 2024"
"Feb 26, 2024",Intercom,NetHunt CRM,UA (Ukraine),5,,500-1000,Negotiations,,
"Feb 26, 2024",Inbound call,No CRM,UA (Ukraine),80,,0-500,Project set up,,
"Feb 26, 2024",Demo Request,iClinic,UA (Ukraine),2,90,0-500,Closed Won,,"Mar 15, 2024"
"Feb 26, 2024",Demo Request,No CRM,UA (Ukraine),10,,0-500,Closed Lost,"Irrelevant client (no ads, calls)","Feb 26, 2024"
"Feb 26, 2024",Facebook PPC,No CRM,PL (Poland),3,,0-500,Negotiations,,
"Feb 26, 2024",Partner,No CRM,KZ (Kazakhstan),3,,5000-10000,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 4, 2024"
"Feb 26, 2024",Partner,No CRM,UA (Ukraine),2,180,500-1000,Closed Won,,"Mar 11, 2024"
"Feb 26, 2024",Partner,Bitrix24,KZ (Kazakhstan),1,90,500-1000,Closed Won,,"Mar 13, 2024"
"Feb 26, 2024",Intercom,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Competitor gave better offer,"Feb 29, 2024"
"Feb 26, 2024",Registration,No CRM,KZ (Kazakhstan),10,,0-500,Negotiations,,
"Feb 26, 2024",Inbound call,Custom CRM,UA (Ukraine),2,90,0-500,Closed Won,,"Mar 27, 2024"
"Feb 26, 2024",Inbound call,No CRM,UA (Ukraine),4,,500-1000,Closed Lost,Stopped communicating,"Mar 14, 2024"
"Feb 26, 2024",Partner,Other,KZ (Kazakhstan),5,,500-1000,Closed Lost,Doing the website,"Mar 19, 2024"
"Feb 26, 2024",Registration,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Stopped communicating,"Feb 28, 2024"
"Feb 26, 2024",Demo Request,iiko,KZ (Kazakhstan),5,,0-500,Closed Lost,Failed to produce value even though it was possible,"Mar 12, 2024"
"Feb 23, 2024",Inbound call,Salesdrive,UA (Ukraine),3,90,0-500,Closed Won,,"Mar 6, 2024"
"Feb 23, 2024",Inbound call,No CRM,UA (Ukraine),3,,0-500,Closed Lost,Doing the website,"Mar 12, 2024"
"Feb 23, 2024",Partner,No CRM,UA (Ukraine),1,90,500-1000,Closed Won,,"Feb 23, 2024"
"Feb 23, 2024",Partner,No CRM,KZ (Kazakhstan),16,,0-500,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 6, 2024"
"Feb 23, 2024",Partner,Other,UA (Ukraine),4,,0-500,Closed Lost,No responsible of the project at the moment,"Mar 11, 2024"
"Feb 23, 2024",Intercom,Pipedrive,PL (Poland),4,180,0-500,Closed Won,,"Mar 5, 2024"
"Feb 23, 2024",Inbound call,No CRM,PL (Poland),3,,0-500,Closed Lost,No responsible of the project at the moment,"Feb 29, 2024"
"Feb 23, 2024",Intercom,No CRM,US (United States of America),1,,0-500,Project set up,,
"Feb 23, 2024",Inbound call,No CRM,PL (Poland),6,360,0-500,Closed Won,,"Mar 14, 2024"
"Feb 23, 2024",Partner,Bitrix24,KZ (Kazakhstan),1,,0-500,Closed Lost,Client decided that it was not profitable,"Mar 13, 2024"
"Feb 23, 2024",Inbound call,AmoCRM,AE (United Arab Emirates),5,90,500-1000,Closed Won,,"Feb 28, 2024"
"Feb 23, 2024",Partner,No CRM,UA (Ukraine),1,90,0-500,Closed Won,,"Feb 28, 2024"
"Feb 23, 2024",Ringostat Messenger,KeyCRM,UA (Ukraine),4,,0-500,Closed Lost,Competitor gave better offer,"Mar 5, 2024"
"Feb 23, 2024",Facebook PPC,No CRM,UA (Ukraine),1,,0-500,Trial,,"Mar 7, 2024"
"Feb 23, 2024",Partner,AmoCRM,KZ (Kazakhstan),10,,0-500,Closed Lost,Competitor gave better offer,"Feb 23, 2024"
"Feb 23, 2024",Facebook PPC,No CRM,UA (Ukraine),4,,500-1000,Negotiations,,
"Feb 23, 2024",Partner,AmoCRM,UA (Ukraine),1,180,1000-2000,Closed Won,,"Mar 12, 2024"
"Feb 23, 2024",Existing client,Bitrix24,UA (Ukraine),10,,0-500,Payment,,
"Feb 23, 2024",Partner,No CRM,UA (Ukraine),5,,0-500,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 24, 2024"
"Feb 22, 2024",Facebook PPC,No CRM,UA (Ukraine),3,,0-500,Closed Lost,Doing the website,"Mar 15, 2024"
"Feb 23, 2024",Partner,No CRM,DE (Germany),0,,500-1000,Closed Lost,"Irrelevant client (no ads, calls)","Mar 20, 2024"
"Feb 22, 2024",Webinar,NetHunt CRM,PL (Poland),1,360,0-500,Closed Won,,"Feb 29, 2024"
"Feb 22, 2024",Registration,KeyCRM,PL (Poland),1,,0-500,Closed Lost,Hiring,"Apr 3, 2024"
"Feb 22, 2024",Partner,AmoCRM,UA (Ukraine),5,90,0-500,Closed Won,,"Feb 28, 2024"
"Feb 22, 2024",Inbound call,AmoCRM,PL (Poland),2,,0-500,Closed Lost,Cranky client,"Feb 28, 2024"
"Feb 22, 2024",Facebook PPC,No CRM,PL (Poland),10,,0-500,Closed Lost,No responsible of the project at the moment,"Mar 4, 2024"
"Feb 22, 2024",Partner,Bitrix24,UA (Ukraine),10,,500-1000,Payment,,
"Feb 22, 2024",Partner,KeyCRM,UA (Ukraine),6,,0-500,Closed Lost,Stopped communicating,"Mar 18, 2024"
"Feb 22, 2024",Partner,Creatio,UA (Ukraine),10,,0-500,Closed Lost,Implementing CRM,"Mar 7, 2024"
"Feb 21, 2024",Partner,Creatio,UA (Ukraine),4,90,0-500,Closed Won,,"Mar 7, 2024"
"Feb 22, 2024",Intercom,Other,UA (Ukraine),2,,0-500,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 11, 2024"
"Feb 22, 2024",Partner,No CRM,UA (Ukraine),1,90,0-500,Closed Won,,"Mar 11, 2024"
"Feb 21, 2024",Registration,No CRM,UA (Ukraine),1,360,0-500,Closed Won,,"Feb 21, 2024"
"Feb 21, 2024",Partner,Custom CRM,UA (Ukraine),2,90,500-1000,Closed Won,,"Mar 20, 2024"
"Feb 21, 2024",Facebook PPC,No CRM,UA (Ukraine),1,,500-1000,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 12, 2024"
"Feb 22, 2024",Inbound call,Bitrix24,KZ (Kazakhstan),156,,5000-10000,Closed Lost,No responsible of the project at the moment,"Mar 28, 2024"
"Feb 22, 2024",Partner,No CRM,KZ (Kazakhstan),30,,0-500,Closed Lost,No responsible of the project at the moment,"Mar 21, 2024"
"Feb 21, 2024",Intercom,ZohoCRM,UA (Ukraine),7,90,0-500,Closed Won,,"Mar 19, 2024"
"Feb 22, 2024",Partner,AmoCRM,UA (Ukraine),1,,0-500,Negotiations,,
"Feb 22, 2024",Intercom,Bitrix24,ES (Spain),10,,0-500,Closed Lost,Stopped communicating,"Mar 20, 2024"
"Feb 21, 2024",Partner,Salesdrive,UA (Ukraine),3,,0-500,Negotiations,,
"Feb 21, 2024",Inbound call,Other,PL (Poland),6,,0-500,Trial,,
"Feb 21, 2024",Intercom,No CRM,UA (Ukraine),30,,0-500,Negotiations,,
"Feb 21, 2024",Inbound call,CleverBOX,UA (Ukraine),2,,0-500,Closed Lost,Competitor has better product,"Feb 27, 2024"
"Feb 21, 2024",Partner,NetHunt CRM,UA (Ukraine),3,90,0-500,Closed Won,,"Feb 26, 2024"
"Feb 20, 2024",Intercom,Onebox,UA (Ukraine),10,,20000+,Negotiations,,
"Feb 21, 2024",Inbound call,PERFECTUM,UA (Ukraine),3,,0-500,Closed Lost,Stopped communicating,"Apr 3, 2024"
"Feb 20, 2024",Registration,Cliniccards,UA (Ukraine),1,,0-500,Closed Lost,Competitor has better product,"Mar 5, 2024"
"Feb 20, 2024",Facebook PPC,No CRM,PL (Poland),3,,0-500,Closed Lost,Solving budget issues,"Feb 28, 2024"
"Feb 20, 2024",Registration,Other,UA (Ukraine),2,,0-500,Trial,,
"Feb 20, 2024",Intercom,Other,US (United States of America),12,,5000-10000,Negotiations,,
"Feb 20, 2024",Registration,Hubspot,PL (Poland),3,12-month contract,0-500,Closed Won,,"Mar 20, 2024"
"Feb 20, 2024",Social networks,Other,PL (Poland),5,,0-500,Negotiations,,
"Feb 20, 2024",Registration,Bitrix24,KZ (Kazakhstan),5,,0-500,Closed Lost,Did not provide official documents on request,"Mar 5, 2024"
"Feb 20, 2024",Inbound call,No CRM,KZ (Kazakhstan),1,,0-500,Closed Lost,Competitor gave better offer,"Feb 23, 2024"
"Feb 20, 2024",Facebook PPC,Custom CRM,UA (Ukraine),16,,0-500,Closed Lost,Competitor has better product,"Mar 6, 2024"
"Feb 20, 2024",Intercom,No CRM,KZ (Kazakhstan),8,,500-1000,Negotiations,,
"Feb 20, 2024",Registration,No CRM,KZ (Kazakhstan),3,,0-500,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 14, 2024"
"Feb 19, 2024",Partner,Bitrix24,UA (Ukraine),1,,0-500,Trial,,
"Feb 19, 2024",Registration,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Competitor gave better offer,"Feb 22, 2024"
"Feb 19, 2024",Partner,KeepinCRM,UA (Ukraine),5,,0-500,Closed Lost,Phone system,"Feb 26, 2024"
"Feb 19, 2024",Registration,Firmao,PL (Poland),7,,0-500,Trial,,
"Feb 19, 2024",Partner,No CRM,UA (Ukraine),5,,0-500,Trial,,
"Feb 19, 2024",Inbound call,No CRM,PL (Poland),6,,0-500,Project set up,,
"Feb 19, 2024",Inbound call,Custom CRM,KZ (Kazakhstan),50,,0-500,Closed Lost,No responsible of the project at the moment,"Mar 5, 2024"
"Feb 19, 2024",Intercom,Other,KZ (Kazakhstan),30,,0-500,Closed Lost,No responsible of the project at the moment,"Feb 26, 2024"
"Feb 19, 2024",Registration,No CRM,KZ (Kazakhstan),3,,0-500,Closed Lost,Hiring,"Feb 26, 2024"
"Feb 19, 2024",Registration,KeyCRM,UA (Ukraine),4,,0-500,Closed Lost,Client decided that it was not profitable,"Feb 21, 2024"
"Feb 19, 2024",Facebook PPC,Salesdrive,UA (Ukraine),3,,5000-10000,Closed Lost,High price without explanation,"Feb 29, 2024"
"Feb 19, 2024",Inbound call,AmoCRM,UA (Ukraine),50,90,0-500,Closed Won,,"Feb 26, 2024"
"Feb 16, 2024",Registration,Other,US (United States of America),1,,0-500,Closed Lost,Ads not run,"Feb 23, 2024"
"Feb 16, 2024",Registration,No CRM,UA (Ukraine),3,,0-500,Closed Lost,No responsible of the project at the moment,"Feb 20, 2024"
"Feb 16, 2024",Inbound call,KeepinCRM,UA (Ukraine),6,,0-500,Closed Lost,High price and customer refused to implement any solution in general,"Feb 22, 2024"
"Feb 16, 2024",Intercom,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Stopped communicating,"Mar 1, 2024"
"Feb 16, 2024",Partner,No CRM,UA (Ukraine),5,,0-500,Closed Lost,Contacted with a lead too late,"Feb 22, 2024"
"Feb 16, 2024",Intercom,No CRM,LV (Latvia),2,,0-500,Closed Lost,Client decided that it was not profitable,"Mar 13, 2024"
"Feb 16, 2024",Inbound call,No CRM,UA (Ukraine),2,,0-500,Negotiations,,
"Feb 16, 2024",Registration,No CRM,KZ (Kazakhstan),10,,0-500,Closed Lost,Client decided that it was not profitable,"Feb 21, 2024"
"Feb 16, 2024",Inbound call,AmoCRM,KZ (Kazakhstan),3,,0-500,Closed Lost,Solving budget issues,"Mar 11, 2024"
"Feb 16, 2024",Partner,No CRM,KZ (Kazakhstan),1,90,0-500,Closed Won,,"Feb 20, 2024"
"Feb 16, 2024",Partner,Bitrix24,KZ (Kazakhstan),4,,0-500,Project set up,,
"Feb 16, 2024",Demo Request,No CRM,KZ (Kazakhstan),1,,0-500,Closed Lost,Ads not run,"Feb 21, 2024"
"Feb 16, 2024",Demo Request,No CRM,KZ (Kazakhstan),8,,500-1000,Closed Lost,High price without explanation,"Feb 23, 2024"
"Feb 16, 2024",Partner,Odoo,UA (Ukraine),4,,0-500,Closed Lost,No responsible of the project at the moment,"Mar 26, 2024"
"Feb 15, 2024",Partner,Salesdrive,UA (Ukraine),2,,1000-2000,Closed Lost,Client decided that it was not profitable,"Feb 19, 2024"
"Feb 15, 2024",Intercom,AmoCRM,AZ (Azerbaijan),3,,0-500,Closed Lost,High price and customer refused to implement any solution in general,"Feb 19, 2024"
"Feb 15, 2024",Registration,Custom CRM,IL (Israel),4,90,0-500,Closed Won,,"Feb 20, 2024"
"Feb 15, 2024",Partner,KeepinCRM,UA (Ukraine),1,180,0-500,Closed Won,,"Apr 3, 2024"
"Feb 15, 2024",Partner,No CRM,KZ (Kazakhstan),1,,0-500,Closed Lost,Partner failed to convey value/ no client's contacts,"Mar 5, 2024"
"Feb 15, 2024",Partner,KeyCRM,UA (Ukraine),20,,1000-2000,Closed Lost,Client decided that it was not profitable,"Feb 20, 2024"
"Feb 15, 2024",Intercom,No CRM,UA (Ukraine),1,180,0-500,Closed Won,,"Feb 29, 2024"
"Feb 15, 2024",Existing client,No CRM,KZ (Kazakhstan),1,360,0-500,Closed Won,,"Feb 15, 2024"
"Feb 15, 2024",Registration,NetHunt CRM,UA (Ukraine),3,90,0-500,Closed Won,,"Feb 20, 2024"
"Feb 15, 2024",Partner,KeyCRM,UA (Ukraine),2,,0-500,Closed Lost,High price and customer refused to implement any solution in general,"Mar 12, 2024"
"Feb 15, 2024",Ringostat Messenger,Custom CRM,UA (Ukraine),80,,0-500,Closed Lost,Competitor has better product,"Mar 28, 2024"
"Feb 15, 2024",Existing client,Other,UZ (Uzbekistan),4,,1000-2000,Negotiations,,
"Feb 15, 2024",Partner,No CRM,UA (Ukraine),1,,0-500,Trial,,"Mar 6, 2024"
"Feb 15, 2024",Intercom,Salesdrive,UA (Ukraine),1,,0-500,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 13, 2024"
"Feb 14, 2024",Facebook PPC,Odoo,UA (Ukraine),1,,0-500,Closed Lost,Implementing CRM,"Mar 12, 2024"
"Feb 14, 2024",Intercom,Bitrix24,UA (Ukraine),15,,0-500,Closed Lost,Client decided that it was not profitable,"Mar 15, 2024"
"Feb 14, 2024",Intercom,Bitrix24,PL (Poland),11,,0-500,Closed Lost,Couldn't handle the objection,"Mar 22, 2024"
"Feb 14, 2024",Registration,No CRM,UA (Ukraine),3,,0-500,Closed Lost,Illegal industry,"Feb 16, 2024"
"Feb 14, 2024",Intercom,Salesdrive,UA (Ukraine),4,,5000-10000,Closed Lost,Competitor gave better offer,"Mar 15, 2024"
"Feb 14, 2024",Inbound call,No CRM,UA (Ukraine),6,,0-500,Closed Lost,Competitor has better product with better price,"Mar 6, 2024"
"Feb 14, 2024",Inbound call,No CRM,UA (Ukraine),1,,1000-2000,Closed Lost,Stopped communicating,"Mar 26, 2024"
"Feb 13, 2024",Facebook PPC,Custom CRM,PL (Poland),9,,0-500,Closed Lost,Implementing CRM,"Mar 8, 2024"
"Feb 14, 2024",Partner,KeyCRM,UA (Ukraine),5,,0-500,Closed Lost,No responsible of the project at the moment,"Mar 4, 2024"
"Feb 14, 2024",Demo Request,No CRM,KZ (Kazakhstan),3,,0-500,Closed Lost,"Telecom (numbers, voice traffic)","Mar 7, 2024"
"Feb 14, 2024",Inbound call,No CRM,UA (Ukraine),2,,0-500,Closed Lost,Solving budget issues,"Mar 21, 2024"
"Feb 13, 2024",Facebook PPC,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Hiring,"Feb 14, 2024"
"Feb 14, 2024",Inbound call,Beauty Pro,UA (Ukraine),4,180,0-500,Closed Won,,"Feb 28, 2024"
"Feb 14, 2024",Inbound call,No CRM,KZ (Kazakhstan),3,,0-500,Closed Lost,No responsible of the project at the moment,"Mar 12, 2024"
"Feb 14, 2024",Partner,Bitrix24,KZ (Kazakhstan),12,,0-500,Payment,,
"Feb 13, 2024",Partner,No CRM,CA (Canada),1,,0-500,Negotiations,,
"Feb 13, 2024",Partner,No CRM,KZ (Kazakhstan),0,,0-500,Closed Lost,Partner doesn't work with client,"Mar 4, 2024"
"Feb 13, 2024",Partner,No CRM,ES (Spain),5,180,0-500,Closed Won,,"Mar 20, 2024"
"Feb 13, 2024",Partner,No CRM,UA (Ukraine),10,,0-500,Project set up,,
"Feb 13, 2024",Demo Request,Other,UA (Ukraine),3,,0-500,Closed Lost,Solving budget issues,"Feb 26, 2024"
"Feb 13, 2024",Inbound call,No CRM,PL (Poland),2,,0-500,Closed Lost,Integrations,"Feb 23, 2024"
"Feb 13, 2024",From Ice,No CRM,UA (Ukraine),60,,0-500,Closed Lost,Implementing CRM,"Mar 14, 2024"
"Feb 13, 2024",Partner,KeyCRM,UA (Ukraine),3,90,0-500,Closed Won,,"Mar 28, 2024"
"Feb 13, 2024",Intercom,KeepinCRM,UA (Ukraine),3,,0-500,Closed Lost,Solving budget issues,"Mar 14, 2024"
"Feb 13, 2024",Registration,ZohoCRM,IN (India),3,,0-500,Closed Lost,"Telecom (numbers, voice traffic)","Feb 26, 2024"
"Feb 13, 2024",Intercom,AmoCRM,UA (Ukraine),2,,0-500,Closed Lost,Competitor gave better offer,"Feb 16, 2024"
"Feb 13, 2024",Facebook PPC,Hubspot,PL (Poland),3,,0-500,Project set up,,
"Feb 12, 2024",Intercom,Other,UA (Ukraine),1,90,0-500,Closed Won,,"Mar 12, 2024"
"Feb 12, 2024",Facebook PPC,No CRM,UA (Ukraine),18,,0-500,Closed Lost,Solving budget issues,"Mar 1, 2024"
