AQL date,Source,Client CRM,Client country,Number of sales reps,Subscription period,PPC budget USD,Stage,Loss reason description,Closing Date
"Mar 27, 2024",Partner,KeyCRM,UA (Ukraine),1,,0-500,Negotiations,,
"Mar 27, 2024",Intercom,No CRM,UA (Ukraine),3,,0,Closed Lost,Cranky client,"Apr 1, 2024"
"Mar 27, 2024",Partner,No CRM,KZ (Kazakhstan),1,,0-500,Negotiations,,
"Mar 26, 2024",Facebook PPC,No CRM,PL (Poland),5,,0-500,Negotiations,,
"Mar 26, 2024",Demo Request,No CRM,PL (Poland),5,,0,Negotiations,,
"Mar 27, 2024",Partner,Pipedrive,PL (Poland),3,,0-500,Negotiations,,
"Mar 26, 2024",Partner,Other,UA (Ukraine),4,,0,Closed Lost,Competitor has better product,"Apr 3, 2024"
"Mar 27, 2024",Partner,AmoCRM,KZ (Kazakhstan),4,,500-1000,Closed Lost,Competitor gave better offer,"Apr 3, 2024"
"Mar 26, 2024",Facebook PPC,No CRM,UA (Ukraine),2,,0-500,Closed Lost,Solving budget issues,"Mar 26, 2024"
"Mar 26, 2024",Partner,Bitrix24,UA (Ukraine),3,,500-1000,Negotiations,,
"Mar 25, 2024",Intercom,KeyCRM,UA (Ukraine),3,,0-500,Project set up,,
"Mar 25, 2024",Inbound call,No CRM,UA (Ukraine),1,,0,Negotiations,,
"Mar 25, 2024",Intercom,Salesforce,US (United States of America),1,,20000+,Negotiations,,
"Mar 25, 2024",Inbound call,Bitrix24,UA (Ukraine),8,,2000-5000,Negotiations,,
"Mar 25, 2024",Registration,No CRM,PL (Poland),7,,5000-10000,Negotiations,,
"Mar 25, 2024",Inbound call,Other,UA (Ukraine),2,,0,Negotiations,,
"Mar 25, 2024",Partner,ZohoCRM,US (United States of America),4,,0-500,Negotiations,,
"Mar 25, 2024",Registration,AmoCRM,UA (Ukraine),3,,500-1000,Negotiations,,
"Mar 25, 2024",Demo Request,Pipedrive,UA (Ukraine),1,,0-500,Negotiations,,
"Mar 25, 2024",Intercom,Other,PL (Poland),30,,0,Negotiations,,
"Mar 25, 2024",Registration,No CRM,UA (Ukraine),1,90,0-500,Closed Won,,"Mar 27, 2024"
"Mar 25, 2024",Partner,ZohoCRM,UA (Ukraine),1,,0-500,Negotiations,,
"Mar 25, 2024",Registration,NetHunt CRM,UA (Ukraine),2,,0,Negotiations,,
"Mar 22, 2024",Registration,No CRM,PL (Poland),3,,0,Trial,,
"Mar 24, 2024",Inbound call,No CRM,UA (Ukraine),35,,0,Closed Lost,Client decided that it was not profitable,"Apr 3, 2024"
"Mar 22, 2024",Registration,iClinic,UA (Ukraine),2,,0-500,Negotiations,,
"Mar 22, 2024",Inbound call,Other,US (United States of America),5,,20000+,Negotiations,,
"Mar 22, 2024",Intercom,No CRM,UA (Ukraine),16,,0-500,Negotiations,,
"Mar 22, 2024",Inbound call,Salesdrive,UA (Ukraine),1,,0-500,Closed Lost,Competitor gave better offer,"Mar 26, 2024"
"Mar 22, 2024",Inbound call,KeyCRM,PL (Poland),3,,0,Negotiations,,
"Mar 22, 2024",Registration,No CRM,PL (Poland),2,,0-500,Project set up,,
"Mar 22, 2024",Partner,Bitrix24,KZ (Kazakhstan),1,,1000-2000,Closed Lost,Competitor gave better offer,"Mar 29, 2024"
"Mar 22, 2024",Inbound call,G-PLUS,UA (Ukraine),1,,0-500,Negotiations,,
"Mar 22, 2024",Inbound call,Custom CRM,UA (Ukraine),15,,0,Negotiations,,
"Mar 22, 2024",Inbound call,Bitrix24,UA (Ukraine),40,,0,Negotiations,,
"Mar 22, 2024",Demo Request,Custom CRM,UA (Ukraine),1,,0-500,Negotiations,,
"Mar 22, 2024",Partner,KeyCRM,UA (Ukraine),2,,0-500,Closed Lost,Ads not run,"Mar 22, 2024"
"Mar 22, 2024",Inbound call,KeyCRM,UA (Ukraine),9,,0,Closed Lost,Client decided that it was not profitable,"Mar 29, 2024"
"Mar 21, 2024",Partner,No CRM,UA (Ukraine),20,,1000-2000,Negotiations,,
"Mar 21, 2024",Facebook PPC,KeepinCRM,UA (Ukraine),3,,0,Negotiations,,
"Mar 21, 2024",Partner,Planfix,UA (Ukraine),5,,0-500,Project set up,,
"Mar 21, 2024",Facebook PPC,No CRM,UA (Ukraine),3,,0-500,Closed Lost,"Irrelevant client (no ads, calls)","Apr 1, 2024"
"Mar 21, 2024",Demo Request,Other,IL (Israel),6,,0-500,Negotiations,,
"Mar 21, 2024",Partner,Pipedrive,UA (Ukraine),3,,0-500,Closed Lost,Implementing CRM,"Mar 21, 2024"
"Mar 21, 2024",Registration,Other,LT (Lithuania),6,,1000-2000,Negotiations,,
"Mar 21, 2024",Partner,Pipedrive,PL (Poland),2,,0,Project set up,,
"Mar 21, 2024",Partner,Pipedrive,UA (Ukraine),1,90,0-500,Closed Won,,"Mar 29, 2024"
"Mar 21, 2024",Registration,No CRM,UA (Ukraine),1,,0,Project set up,,
"Mar 21, 2024",Registration,KeyCRM,UA (Ukraine),2,,0,Negotiations,,
"Mar 20, 2024",Inbound call,Pipedrive,UA (Ukraine),3,0,0,Closed Won,,"Mar 22, 2024"
"Mar 20, 2024",Reference,KeyCRM,UA (Ukraine),4,90,0,Closed Won,,"Mar 22, 2024"
"Mar 20, 2024",Facebook PPC,KeyCRM,UA (Ukraine),3,,0-500,Negotiations,,
"Mar 20, 2024",Intercom,No CRM,PL (Poland),20,,0,Negotiations,,
"Mar 20, 2024",Facebook PPC,No CRM,PL (Poland),3,,0,Negotiations,,
"Mar 20, 2024",Partner,KeyCRM,UA (Ukraine),5,,0-500,Trial,,
"Mar 20, 2024",Partner,No CRM,UA (Ukraine),1,,500-1000,Trial,,
"Mar 20, 2024",Inbound call,NetHunt CRM,ES (Spain),5,,0,Trial,,
"Mar 19, 2024",Partner,No CRM,UA (Ukraine),1,90,1000-2000,Closed Won,,"Mar 20, 2024"
"Mar 19, 2024",Partner,Bitrix24,KZ (Kazakhstan),3,360,0-500,Closed Won,,"Mar 29, 2024"
"Mar 19, 2024",Intercom,AmoCRM,PL (Poland),3,12-month contract,0,Closed Won,,"Mar 21, 2024"
"Mar 19, 2024",Partner,Bitrix24,KZ (Kazakhstan),0,,500-1000,Closed Lost,Partner failed to convey value/ no client's contacts,"Mar 20, 2024"
"Mar 19, 2024",Partner,No CRM,UA (Ukraine),1,,0,Project set up,,
"Mar 19, 2024",Inbound call,AmoCRM,UA (Ukraine),10,,1000-2000,Negotiations,,
"Mar 19, 2024",Partner,No CRM,UA (Ukraine),1,90,500-1000,Closed Won,,"Mar 26, 2024"
"Mar 19, 2024",Webinar,No CRM,UA (Ukraine),4,,0-500,Closed Lost,Solving budget issues,"Mar 26, 2024"
"Mar 19, 2024",Partner,Other,UA (Ukraine),1,,2000-5000,Negotiations,,
"Mar 19, 2024",Inbound call,KeyCRM,UA (Ukraine),1,,0,Negotiations,,
"Mar 19, 2024",Inbound call,1C as CRM,UA (Ukraine),1,,0-500,Payment,,
"Mar 18, 2024",Registration,Microsoft Dynamics,PL (Poland),10,,0,Negotiations,,
"Mar 19, 2024",Inbound call,No CRM,UA (Ukraine),1,,0-500,Negotiations,,
"Mar 19, 2024",Registration,KeyCRM,UA (Ukraine),1,90,500-1000,Closed Won,,"Mar 25, 2024"
"Mar 18, 2024",Partner,KeyCRM,UA (Ukraine),2,360,0-500,Closed Won,,"Mar 28, 2024"
"Mar 18, 2024",Partner,No CRM,GE (Georgia),1,,500-1000,Closed Lost,Partner failed to convey value/ no client's contacts,"Mar 25, 2024"
"Mar 18, 2024",Partner,1C as CRM,UA (Ukraine),2,180,2000-5000,Closed Won,,"Mar 28, 2024"
"Mar 18, 2024",Partner,ZohoCRM,UA (Ukraine),30,,2000-5000,Negotiations,,
"Mar 18, 2024",Partner,No CRM,KZ (Kazakhstan),3,,0-500,Negotiations,,
"Mar 18, 2024",Registration,No CRM,PL (Poland),3,12-month contract,0,Closed Won,,"Apr 3, 2024"
"Mar 18, 2024",Demo Request,AmoCRM,UA (Ukraine),6,,0,Project set up,,
"Mar 18, 2024",Partner,AmoCRM,KZ (Kazakhstan),7,,0,Negotiations,,
"Mar 18, 2024",Demo Request,Pipedrive,UA (Ukraine),2,,0-500,Closed Lost,Competitor has better product,"Mar 22, 2024"
"Mar 18, 2024",Intercom,No CRM,UA (Ukraine),2,,1000-2000,Negotiations,,
"Mar 18, 2024",Demo Request,Hubspot,PL (Poland),3,,0-500,Negotiations,,
"Mar 18, 2024",Inbound call,AmoCRM,KZ (Kazakhstan),4,,0-500,Closed Lost,Solving budget issues,"Mar 22, 2024"
"Mar 18, 2024",Existing client,No CRM,UA (Ukraine),2,,0,Project set up,,
"Mar 18, 2024",Reference,No CRM,UA (Ukraine),5,,0,Closed Lost,"Telecom (numbers, voice traffic)","Mar 18, 2024"
"Mar 18, 2024",Demo Request,Hubspot,UA (Ukraine),1,360,0,Closed Won,,"Mar 22, 2024"
"Mar 18, 2024",Partner,Creatio,UA (Ukraine),3,90,0,Closed Won,,"Apr 2, 2024"
"Mar 15, 2024",Registration,No CRM,UA (Ukraine),3,,0-500,Negotiations,,
"Mar 15, 2024",Webinar,No CRM,UA (Ukraine),1,,0,Negotiations,,
"Mar 15, 2024",Intercom,No CRM,UA (Ukraine),5,,0-500,Trial,,
"Mar 15, 2024",Partner,Creatio,UA (Ukraine),5,,0,Negotiations,,
"Mar 15, 2024",Inbound call,Other,PL (Poland),25,,0,Negotiations,,
"Mar 15, 2024",Partner,No CRM,UA (Ukraine),2,,500-1000,Project set up,,
"Mar 15, 2024",Partner,Other,KZ (Kazakhstan),5,,500-1000,Negotiations,,
"Mar 15, 2024",Partner,No CRM,UA (Ukraine),100,,0,Closed Lost,Solving budget issues,"Mar 15, 2024"
"Mar 15, 2024",Existing client,KeepinCRM,LT (Lithuania),1,,0-500,Negotiations,,
"Mar 15, 2024",Existing client,KeyCRM,UA (Ukraine),5,,500-1000,Closed Lost,Doing the website,"Mar 18, 2024"
"Mar 15, 2024",Inbound call,No CRM,UA (Ukraine),6,,0,Negotiations,,
"Mar 14, 2024",Facebook PPC,Other,PL (Poland),15,,0-500,Negotiations,,
"Mar 14, 2024",Partner,Bitrix24,KZ (Kazakhstan),5,,0,Negotiations,,
"Mar 15, 2024",Partner,No CRM,UA (Ukraine),2,180,0-500,Closed Won,,"Mar 26, 2024"
"Mar 14, 2024",Registration,No CRM,CY (Cyprus),3,90,0,Closed Won,,"Mar 19, 2024"
"Mar 14, 2024",Partner,KeyCRM,UA (Ukraine),2,,0-500,Trial,,
"Mar 14, 2024",Partner,KeyCRM,UA (Ukraine),9,,0,Closed Lost,Hiring,"Mar 28, 2024"
"Mar 14, 2024",Partner,KeyCRM,UA (Ukraine),4,,0-500,Closed Lost,High price without explanation,"Mar 15, 2024"
"Mar 14, 2024",Demo Request,No CRM,UA (Ukraine),1,,0-500,Closed Lost,High price and customer refused to implement any solution in general,"Mar 18, 2024"
"Mar 14, 2024",Existing client,Pipedrive,UA (Ukraine),2,90,500-1000,Closed Won,,"Mar 20, 2024"
